Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Phone Number,Contact Email,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Similar,https://www.crunchbase.com/organization/similar-ce2c,,"Audio, Content Creators, Social Media, Video",,"Similar is an online application that allows users to analyze a video, extract tags, and generate personalized text.","167,736",,,,,Active,2024-09-23,day,,,,,For Profit,https://www.similarapp.it,,https://www.linkedin.com/company/similar-it,,alessandro@similarapp.it,,,,,,,,,,,,"Internet Services, Media and Entertainment, Music and Audio, Video",2,"Alessandro Serina, Lorenzo Serina",1-10,1,Seed,2024-12-10,100000,EUR,105313,Seed,100000,EUR,105313,Seed,100000,EUR,105313,100000,EUR,105313,PLAI Accelerator,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,,,,,
Myvisto,https://www.crunchbase.com/organization/myvisto,,"Communities, E-Commerce, Internet, Social Media, Social Network, Video","Torino, Piemonte, Italy",Myvisto è la piattaforma che connette aziende e videomaker con compensi per i video più influenti su internet.,"169,077","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Less than $1M,Active,2016-07-01,month,,,,,For Profit,https://myvisto.it/,https://www.facebook.com/myvisto/,https://www.linkedin.com/company/myvistosrl/,+39 011 036 4668,info@myvisto.it,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Internet Services, Media and Entertainment, Video",1,Paolo Tenna,1-10,2,Seed,2020-04-01,,,,Seed,,,,Seed,500000,EUR,571485,500000,EUR,571485,Club degli Investitori,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,6,,,,
Linari Medical,https://www.crunchbase.com/organization/linari-medical,,"Manufacturing, Medical, Medical Device","Pisa, Toscana, Italy",Linari Medical produces and markets medical devices for neurovisual rehabilitation in telemedicine.,"169,552","European Union (EU), Europe, Middle East, and Africa (EMEA)",56121,,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://linarimedical.com,https://www.facebook.com/LinariMedical,https://www.linkedin.com/company/linari-medical,+39 050 9655049,info@linarimedical.com,,,,,,,,,,,,"Health Care, Manufacturing",,,11-50,1,Seed,2023-02-03,110000,EUR,118861,Pre-Seed,110000,EUR,118861,Pre-Seed,110000,EUR,118861,110000,EUR,118861,VITA Accelerator,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.8,12,1,2,,Scientific and electric apparatus and instruments
The Paac,https://www.crunchbase.com/organization/the-paac,,"E-Commerce, Fashion, Rental","Caserta, Campania, Italy",Fashion leasing service,"174,936","European Union (EU), Europe, Middle East, and Africa (EMEA)",81100,,,Active,2020-09-18,day,,,,,For Profit,https://www.thepaac.com/,https://www.facebook.com/thepaac,https://www.linkedin.com/company/thepaac,00393756803315,help@thepaac.com,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design",3,"Alessandro Franzese, Antonio Carmine Napolitano, Raffaele Solaro",1-10,1,Seed,2020-10-29,170000,EUR,198535,Pre-Seed,170000,EUR,198535,Pre-Seed,170000,EUR,198535,170000,EUR,198535,HPF,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,7,0,2,,Advertising; business
Efeso,https://www.crunchbase.com/organization/efeso,,"Consulting, Professional Services","Paris, Ile-de-France, France",Efeso is a global management consultancy firm specialised in ensuring the perfect execution of the strategy across the client ecosystem.,"178,338","European Union (EU), Europe, Middle East, and Africa (EMEA)",75008,,$100M to $500M,Active,1980-01-01,year,2018-11-19,day,,,For Profit,https://www.efeso.com,,https://www.linkedin.com/company/efeso/,+33 1 53 53 57 00,info.marketing@efeso.com,,,,,,,,,,,,"Other, Professional Services",2,"Carlo Baroncelli, Filippo Mantegazza",501-1000,3,M&A,2023-11-27,,,,Private Equity,,,,Private Equity,,,,,,,"Eurazeo, TowerBrook Capital Partners, NextStage",2,3,13,"Made Acquisitions, Was Acquired",Efeso acquired by Eurazeo PME,https://www.crunchbase.com/acquisition/eurazeo-pme-acquires-efeso--3e1d5a9f,Eurazeo PME,https://www.crunchbase.com/organization/eurazeo-pme,2018-11-19,day,,,,Leveraged Buyout,,Private,,,,,,,,,,,,,2.5,6,0,5,,Scientific and electric apparatus and instruments
RAW Group,https://www.crunchbase.com/organization/raw-group,,"Civil Engineering, Construction, Interior Design","Sudbury, Ontario, Canada","RAW Group is a General Contractor specializing in; Electrical, Pre-Engineered Buildings, Concrete, and Civil Works.","178,354",Great Lakes,,,,Active,,,,,,,For Profit,https://rawgroup.ca,https://www.facebook.com/RAWGroupSudbury,https://www.linkedin.com/company/raw-contracting,+1 705-806-0071,info@rawgroup.ca,,,,,,,,,,,,"Design, Real Estate, Science and Engineering",,,11-50,1,,2022-12-07,7500,USD,7500,Grant,,,,,,,,7500,USD,7500,Hydro One Indigenous Entrepreneurship Program,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.3,7,,,,
Mine Crime,https://www.crunchbase.com/organization/mine-crime,,"Analytics, Risk Management, Security, Software","Milan, Lombardia, Italy",Mine Crime is a sec-tech company that makes crime data & multi-composite risk indicators on urban decay easy accessible to any stakeholders!,"179,123","European Union (EU), Europe, Middle East, and Africa (EMEA)",20124,,,Active,2020-12-03,day,,,,,For Profit,https://www.minecrime.it/,https://www.facebook.com/MineCrimeTool,https://www.linkedin.com/company/mine-crime-find-crime-share-solutions/?viewAsMember=true,+393403431477,administration@safetecom.it,,,,,,,,,,,,"Data and Analytics, Privacy and Security, Professional Services, Software",4,"Giacomo Salvanelli, Luca Ruschioni, Pietro Andrea Marino, Samuel Piatanesi",11-50,1,Seed,2021-12-05,30000,EUR,33913,Seed,30000,EUR,33913,Seed,30000,EUR,33913,30000,EUR,33913,Bocconi University,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.1,3,,,,
Manta Aircraft,https://www.crunchbase.com/organization/manta-aircraft,,"Aerospace, Industrial, Machinery Manufacturing","Sesto Calende, Lombardia, Italy",Manta Aircraft is an engineering and design company offering aircraft development services.,"186,918","European Union (EU), Europe, Middle East, and Africa (EMEA)",21018,,$1M to $10M,Active,,,,,,,For Profit,https://www.mantaaircraft.com,https://www.facebook.com/mantaaircraft,https://www.linkedin.com/company/manta-aircraft,,info@mantaaircraft.com,,,,,,,,,,,,"Manufacturing, Science and Engineering",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7,9,,,,
Holifya,https://www.crunchbase.com/organization/holifya,,"Fitness, Health Diagnostics, Wellness","Milano, Lombardia, Italy",Holifya serves in the health-tech field and offers a personalized service.,"193,158","European Union (EU), Europe, Middle East, and Africa (EMEA)",20151,,,Active,2021-01-01,year,,,,,For Profit,https://holifya.com,https://www.facebook.com/holifya,https://www.linkedin.com/company/holifya,+39 333 2736542,privacy@holifya.com,,,,,,,,,,,,"Health Care, Sports",1,Alessandra Cestaro,1-10,1,Seed,2023-02-20,500000,EUR,534128,Pre-Seed,500000,EUR,534128,Pre-Seed,500000,EUR,534128,500000,EUR,534128,"Exor Ventures, B4i - Bocconi for innovation, Growth Engine",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.1,9,1,1,Medical Or Veterinary Science; Hygiene,"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics"
Plannest,https://www.crunchbase.com/organization/plannest,,"Apps, Fitness, Training","Firenze, Toscana, Italy",Innovazione nel panorama del fitness italiano,"209,051","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,2022-02-14,day,,,,,,https://plannest.it,,,,,,,,,,,,,,,,"Apps, Education, Software, Sports",,,1-10,2,Seed,2023-03-13,6000,EUR,6434,Pre-Seed,6000,EUR,6434,Pre-Seed,12000,EUR,12626,12000,EUR,12626,IKIGAI,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.9,1,,,,
BeadRoots,https://www.crunchbase.com/organization/beadroots,,"AgTech, Manufacturing","Lecce, Puglia, Italy",Beadroots is an agritech company aiming at reducing the effects of drought periods in agriculture.,"214,972","European Union (EU), Europe, Middle East, and Africa (EMEA)",73100,Women Founded,,Active,2023-12-07,day,,,,,For Profit,https://www.beadroots.it,https://www.facebook.com/people/BeadRoots/61558063456140,https://www.linkedin.com/company/beadroots,+393408545132,angela.bonato@beadroots.it,,,,,,,,,,,,"Agriculture and Farming, Manufacturing",2,"Angela Bonato, Valerio De Luca",1-10,1,Seed,2024-10-10,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Eatable Adventures,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,,,,,
EggPlant Srl,https://www.crunchbase.com/organization/eggplant-srl,,"Chemical, Industrial, Waste Management, Water","Polignano A Mare, Puglia, Italy",EggPlant provides advanced bioplastic-based solutions.,"218,630","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,http://www.eggplant.it,,https://www.linkedin.com/company/eggplant-srl/,,,,,,,,,,,,,,"Manufacturing, Natural Resources, Science and Engineering, Sustainability",3,"Domenico Centrone, Paolo Stufano, Vito Emanuele Carofiglio",1-10,1,,2016-02-01,50000,EUR,54452,Grant,,,,,,,,50000,EUR,54452,EASME,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.3,4,4,0,Organic Macromolecular Compounds; Their Preparation Or Chemical Working-Up,
CloEE,https://www.crunchbase.com/organization/cloee,,"Artificial Intelligence (AI), Big Data, Business Intelligence, Data Management, Generative AI, Internet of Things, SaaS","Helsinki, Southern Finland, Finland",CloEE is an AI Digital Advisor for Continuous Improvement in Discrete Manufacturing Companies,"222,811","European Union (EU), Nordic Countries, Scandinavia",,,,Active,2023-02-24,day,,,,,For Profit,http://cloee.co,https://www.facebook.com/cloeesoftware,https://www.linkedin.com/company/cloeesoftware,+358406124477,info@cloee.co,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",5,"Dmytro Levin, Igor Bogachev, Julia Sabitova, Oleksandr Zadorozhnyi, Viacheslav Mitin",1-10,1,,2024-06-12,,,,Non-equity Assistance,,,,,,,,,,,MassChallenge,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,8,,,,
Stelo,https://www.crunchbase.com/organization/stelo,,"Finance, Financial Services, Payments","Barueri, Sao Paulo, Brazil","Stelo, a digital payments company from Banco do Brasil, Bradesco and Cielo.","227,826",Latin America,,,$10M to $50M,Active,2014-01-01,year,,,,,For Profit,http://www.stelo.com.br,https://www.facebook.com/stelodigital,https://www.linkedin.com/company/stelo/,,,,,,,,,,,,,,"Financial Services, Payments",1,Mário Casasanta,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,3,,,,
IDT Corporation,https://www.crunchbase.com/organization/idt-corporation,,"Communications Infrastructure, Digital Entertainment, Financial Services, Payments, Retail, Telecommunications","Newark, New Jersey, United States","IDT Corporation enriches lives, providing communication, entertainment and financial services.","230,012","Greater New York Area, East Coast, Northeastern US",07102,,$1B to $10B,Active,1990-01-01,year,2001-02-26,day,,,For Profit,http://idt.net,https://www.facebook.com/idtcorporation/,https://www.linkedin.com/company-beta/2964/?pathWildcard=2964,9734383419,contactidt@idt.net,,,4,4,1,,1,,,,,"Commerce and Shopping, Financial Services, Hardware, Media and Entertainment, Payments",1,Howard Jonas,1001-5000,,IPO,,,,,,,,,,,,,,,,,,,2,Made Acquisitions,,,,,,,,,,,,Public,2001-02-26,,,,,,,,,IDT,https://www.crunchbase.com/ipo/idt-corporation-ipo--53aa9cdb,NYSE - New York Stock Exchange,-0.1,21,16,55,Electric Communication Technique,Insurance; financial affairs
DMC,https://www.crunchbase.com/organization/dmc-b6d6,,"Industrial, Industrial Automation, Marine Technology, Robotics","Holstebro, Midtjylland, Denmark",DMC solves offshore assignments with ROV underwater robots and ROV pilot/operators.,"230,403","European Union (EU), Nordic Countries, Scandinavia",DK-7500,,$500M to $1B,Active,2012-01-01,year,,,,,For Profit,http://dmc-underwater.com/,https://www.facebook.com/DMC.underwater.solutions,,+45 3167 8093,cd@d-marine.dk,,,,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software",2,"Claus Drechsler, Lone Drechsler",1-10,1,,2016-07-01,50000,EUR,55692,Grant,,,,,,,,50000,EUR,55692,EASME,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.5,1,,,,
Athics,https://www.crunchbase.com/organization/athics,,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Milan, Lombardia, Italy",Athics is an artificial intelligence company that develops a platform for conversational AI agents.,"232,256","European Union (EU), Europe, Middle East, and Africa (EMEA)",20092,,$1M to $10M,Active,2018-05-01,month,,,,,For Profit,https://crafter.ai/,,https://www.linkedin.com/company/athics/,+39 02 87167938,support@athics.ai,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Chiara Letizia Ballari, Giuseppe Carrara",11-50,1,Private Equity,2021-09-21,,,,Private Equity,,,,Private Equity,,,,,,,"Azimut Libera Impresa, GELLIFY",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.7,21,,,,
Joule,https://www.crunchbase.com/organization/joule-ai,,"Artificial Intelligence (AI), Developer Tools, E-Commerce, Freelance, Machine Learning, Marketplace, SaaS, Web Development","Miami, Florida, United States",A simple + user-friendly way to get your website and design tasks done quickly + easily.,"238,841","Greater Miami Area, East Coast, Southern US",33127,,$50M to $100M,Active,2017-09-15,day,,,,,For Profit,http://www.joule.ai,https://www.facebook.com/jouledotai/,https://www.linkedin.com/company/joule-ai/,,matteo@joule.ai,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Professional Services, Science and Engineering, Software",2,"Brian Sanchez, Matteo Ziff",1-10,1,Seed,2017-09-15,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,1000000,USD,1000000,1000000,USD,1000000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.6,2,,,,
BNESIM,https://www.crunchbase.com/organization/bnesim,,"Mobile Apps, Telecommunications, Travel","Sheung Wan, Hong Kong Island, Hong Kong",Worldwide connections,"245,923",Asia-Pacific (APAC),,,,Active,2017-05-01,day,,,,,For Profit,https://www.bnesim.com,https://www.facebook.com/bnesim.official,https://www.linkedin.com/company/bnesim,,info@bnesim.com,,,,,,,,,,,,"Apps, Hardware, Mobile, Software, Travel and Tourism",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.7,5,,,,
hiop,https://www.crunchbase.com/organization/hiop,,"Artificial Intelligence (AI), Data Integration, Data Management, SaaS","Milan, Lombardia, Italy","A multi-cloud DataOps and Integration service to design, move and process data without cumberstone data engineering tools","252,234","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,2020-04-01,month,,,,,For Profit,https://www.hiop.io/,,https://www.linkedin.com/company/hiop,,info@hiop.io,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,"Enrico La Sala, Giacomo Barone, Vincenzo Marino",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.8,10,0,2,,Scientific and electric apparatus and instruments
Live Story Inc.,https://www.crunchbase.com/organization/live-story-inc,,"Brand Marketing, CMS, Content Creators, Digital Marketing, E-Commerce Platforms, Image Recognition, Product Design, Video, Web Design","New York, New York, United States",Your Creative Digital Experience Platform. Design and publish layouts online and to remote screens in no time. Activate your content!,"258,799","Greater New York Area, East Coast, Northeastern US",10012,Women Founded,Less than $1M,Active,2020-01-01,day,,,,,For Profit,http://www.livestory.nyc,,https://www.linkedin.com/company/live-story/,,info@livestory.nyc,,,,,,,,,,,,"Commerce and Shopping, Data and Analytics, Design, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software, Video",2,"Margherita Silvestri, Stefano Mocellini",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,10,0,3,,Advertising; business
Astradyne,https://www.crunchbase.com/organization/astradyne-2456,,"Aerospace, Electronics, Information Technology, Space Travel","Bari, Puglia, Italy","Astradyne develops a feasible, space-grade technology offering seamless bonding within electronics and textiles.","258,801","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://www.astradyne.space/,,https://www.linkedin.com/company/astradyne-space/,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Science and Engineering, Transportation",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.5,11,0,1,Generation; Conversion Or Distribution Of Electric Power,Scientific and electric apparatus and instruments
Sensoria Health,https://www.crunchbase.com/organization/sensoria-health,,"Fitness, Health Care, Wellness","Redmond, Washington, United States",Sensoria Health is the leading developer of the Internet of Me (IoMe) smart garments and artificial intelligence software solutions,"259,434","Greater Seattle Area, West Coast, Western US",98052,,,Active,2016-01-01,year,,,,,For Profit,https://www.sensoriahealth.com/,,https://www.linkedin.com/company/sensoria-health/,(425)533-2928,Info@Sensoriahealth.com,,,,,,,,,,,,"Health Care, Sports",2,"Davide Vigano, Maurizio Macagno",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.5,2,,,,
Rombo AI,https://www.crunchbase.com/organization/rombo-ai,,"Analytics, Artificial Intelligence (AI), Information Technology, Software","Italy, Texas, United States","Rombo AI is a software company that offers natural language processing, smart process automation, and predictive analytics services.","259,529","Dallas/Fort Worth Metroplex, Southern US",,,$1M to $10M,Active,2023-01-01,year,,,,,For Profit,https://rombo.ai,https://www.facebook.com/romboai,https://www.linkedin.com/company/rombo-ai,,contact@rombo.ai,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Carmine Mattia,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.6,12,,,,
Bikee Bike,https://www.crunchbase.com/organization/bikee-bike,,"Electric Vehicle, Environmental Engineering, Manufacturing","Mantova, Lombardia, Italy",Bikee Bike produces electric motor and power transmission kits to convert bicycle into and e-bike.,"260,087","European Union (EU), Europe, Middle East, and Africa (EMEA)",46100,,,Active,2014-01-01,year,,,,,For Profit,http://www.bikeebike.com,https://www.facebook.com/bikeebikefan/,https://www.linkedin.com/company/bikee-bike/,+39 0376 390846,info@bikeebike.com,,,,,,,,,,,,"Manufacturing, Science and Engineering, Sustainability, Transportation",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8.1,1,2,3,Land Vehicles For Travelling Otherwise Than On Rails,Vehicles
DVM,https://www.crunchbase.com/organization/dvm-2efd,,"Industrial, Manufacturing, Mechanical Engineering","Norristown, Pennsylvania, United States",DVM provides long-term power distribution solutions for a broad range of industries.,"262,958","Greater Philadelphia Area, Great Lakes, Northeastern US",,,$1M to $10M,Active,2012-01-01,year,2025-04-24,day,,,For Profit,https://www.dvmpower.com,,https://www.linkedin.com/company/dvm-manufacturing,1(855) 386-7947,sales@dvmpower.com,,,,,,,,,,,,"Manufacturing, Science and Engineering",,,51-100,,M&A,,,,,,,,,,,,,,,,,,,,Was Acquired,DVM acquired by Mission Critical Facilities International,https://www.crunchbase.com/acquisition/mission-critical-facilities-international-acquires-dvm-2efd--1c10ce4d,Mission Critical Facilities International,https://www.crunchbase.com/organization/mission-critical-facilities-international,2025-04-24,day,,,,Acquisition,,Private,,,,,,,,,,,,,8.1,10,,,,
Fresca Group,https://www.crunchbase.com/organization/fresca-group,,"Food Processing, Industrial Manufacturing, Wholesale","Tonbridge, Kent, United Kingdom",Fresca Group is a largest privately-owned supplier of fruit and vegetables in the UK.,"273,851","Europe, Middle East, and Africa (EMEA)",TN12 6UT,,$100M to $500M,Active,2005-01-01,day,,,,,For Profit,https://www.frescagroup.co.uk/,https://www.facebook.com/FrescaGroup/,https://www.linkedin.com/company/fresca-group/,44 (0) 1892 831 280,webenquiry@frescagroup.co.uk,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Manufacturing",1,Joost Jolink,501-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.7,3,0,2,,Agricultural products; live animals
Smarthome,https://www.crunchbase.com/organization/smarthome,,"Consumer Electronics, E-Commerce, Home Renovation, Lighting, Smart Building, Smart Home","Irvine, California, United States","Smarthome provides products in lighting control, house automation, security and surveillance, home entertainment, gadgets and pet care.","285,222","Greater Los Angeles Area, West Coast, Western US",92606-5027,,$10M to $50M,Active,1992-01-01,year,2014-05-22,day,,,For Profit,http://www.smarthome.com,http://www.facebook.com/smarthome,https://www.linkedin.com/company/smarthome,949-221-0037,pr@smarthome.com,,,,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Hardware, Real Estate",1,Joe Dada,11-50,3,M&A,2015-11-01,,,,Seed,,,,Seed,,,,,,,"Demeter Partners, Tech Coast Angels, Keiretsu Forum Northwest, Homestore.com",1,4,,Was Acquired,Smarthome acquired by InnovaFonds,https://www.crunchbase.com/acquisition/innovafonds-acquires-smarthome--305ea8f2,InnovaFonds,https://www.crunchbase.com/organization/innovafonds,2014-05-22,day,,,,Leveraged Buyout,,Private,,,,,,,,,,,,,-0.1,9,0,1,,Scientific and electric apparatus and instruments
FASI,https://www.crunchbase.com/organization/fasi,,"Commercial, Consumer, Industrial","Smithville, Missouri, United States","FASI specializes in the service and calibration of Beta Laser Mike, Z-Mike, and Zygo products.","287,362",Midwestern US,64089,,$1M to $10M,Active,2000-01-01,month,,,,,For Profit,https://www.fasi-inc.com,,https://www.linkedin.com/company/fasi-laser-gauging-experts,+1 (860)-836-1429,steve.c@fasi-inc.com,,,,,,,,,,,,"Manufacturing, Other",,,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.2,4,,,,
Hiro Robotics,https://www.crunchbase.com/organization/hiro-robotics,,"Artificial Intelligence (AI), Computer Vision, Robotics","Genoa, Liguria, Italy",Hiro Robotics creates and offers robotics and machine vision systems.,"287,816","European Union (EU), Europe, Middle East, and Africa (EMEA)",16121,,$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.hirorobotics.com,,https://www.linkedin.com/company/hirorobotics,+39 333 121 68 80,contact@hirorobotics.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",3,"Davide Labolani, Jacopo Lottero, Tomaso Manca",1-10,1,,2025-01-14,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,Levante Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,6,,,,
Powerset,https://www.crunchbase.com/organization/powerset,,"Internet, Natural Language Processing, Search Engine","San Francisco, California, United States",Powerset is a search engine focused on in-depth natural language processing.,"289,228","San Francisco Bay Area, West Coast, Western US",94107,,Less than $1M,Active,2005-09-01,day,2008-07-01,day,,,For Profit,http://powerset.com,,https://www.linkedin.com/company/powerset,415-848-7000,info@powerset.com,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Software",3,"Barney Pell, Lorenzo Thione, Steve Newcomb",51-100,2,M&A,2007-01-01,8000000,USD,8000000,Debt Financing,12500000,USD,12500000,Series A,12500000,USD,12500000,20500000,USD,20500000,"Founders Fund, Felicis, Foundation Capital, Amidzad Partners, CommerceNet",2,6,,Was Acquired,Powerset acquired by Microsoft,https://www.crunchbase.com/acquisition/microsoft-acquires-powerset--7f841da9,Microsoft,https://www.crunchbase.com/organization/microsoft,2008-07-01,day,100000000,USD,100000000,Acquisition,Cash,Private,,,,,,,,,,,,,-0.2,3,2,0,Computing; Calculating,
AMG,https://www.crunchbase.com/organization/amg-c5b4,,"Business Development, Business Intelligence, Marketing","Kirkland, Washington, United States",AMG provides sales and marketing solutions for the bakery.,"290,107","Greater Seattle Area, West Coast, Western US",98033,,$1M to $10M,Active,2002-01-01,year,,,,,For Profit,https://www.amgsales.net,,https://www.linkedin.com/company/aldridge-marketing-group-inc.,+1 425 821 3610,,,,,,,,,,,,,"Data and Analytics, Professional Services, Sales and Marketing",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8.8,12,,,,
Quido,https://www.crunchbase.com/organization/quido,,"Children, Events, Wellness",,Hobby and recreational activity booking platform,"292,667",,,,,Active,2023-08-08,day,,,,,For Profit,https://quido.club,,,,,,,,,,,,,,,,"Community and Lifestyle, Events, Health Care, Media and Entertainment",1,Kumar Gaurav,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8.6,1,,,,
Caelus Group,https://www.crunchbase.com/organization/caelus-group,,"FinTech, Social Entrepreneurship, Social Impact","Austin, Texas, United States",Social FinTech Platform,"303,307",Southern US,78759,"Black Founded, Black Led",,Active,2021-07-05,day,,,,,For Profit,https://caelus-group.com,,,512- 354-7407,contact@caelus-group.com,,,,,,,,,,,,"Community and Lifestyle, Financial Services, Other, Social Impact",1,Kcevin Rob,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.1,3,,,,
Weply,https://www.crunchbase.com/organization/weply,,"Artificial Intelligence (AI), Digital Marketing, Information Technology, Lead Generation, Marketing, SaaS, Software","Copenhagen, Hovedstaden, Denmark","Weply provides a 24/7 personally staffed chat to websites, which can help increase the conversion of visitors to customers.","310,448","European Union (EU), Nordic Countries, Scandinavia",,,$1M to $10M,Active,2013-01-01,day,,,,,For Profit,https://weply.chat,https://www.facebook.com/weplychat/,https://www.linkedin.com/company/weplychat/,+45 21 199 199,info@weply.dk,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",2,"Georgi Dzhupanov, Søren Gøtterup-Tang",51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.3,18,,,,
